id,setor,tombo,descricao,
uD56iqg7Yh,111104,1295,MICROFONE DE MÃO COM FIO,
uDCAKfUGES,110409,821624,SONDA DE OXIGENIO,
uDPwYVLjh0,1164,2865,CARTEIRA ESCOLAR PARA DESTRO,
uDQeKAixGf,1113,15527,MICROCOMPUTADOR DELL OPTIPLEX 3080,
uDSFfT7nuO,1164,17710,CADEIRA ESCOLAR COM PRANCHETA FRONTAL,
uDTKDgefm3,1114,6040,MESA PARA COMPUTADOR CINZA COM SUPORTE,
uDY3kCIAK3,110409,333679,BANCO INDIVIDUAL COM ASSENTO ESTOFADO,
uDc6dhxJDG,110409,333541,BANCO INDIVIDUAL COM ASSENTO ESTOFADO,
uDf8LGzZu0,110409,7920,PATCH PANEL 24 PORTAS CAT.6,
uDgUHmDLxC,112203,7117,CADEIRA EXECUTIVA GIRATÓRIA COM BRAÇOS,
uDh4SMDI1g,1115,5819,MESA DE ESCRITÓRIO COM 3 GAVETAS,
uDlBZgraV6,1115,15961,MICROCOMPUTADOR DELL OPTIPLEX 3080 I3 16GB,
uDpLXvXgZd,110409,18483,EXTINTOR PQS ABC 6KG,
uDrdECJL7K,1116,14861,CADEIRA FIXA EMPILHÁVEL,
uDsVRy58Do,111302,237869,MODULO ISOLADOR,
uE3AkMHhei,110409,52058,MESA DE MADEIRA COM 04 GAVETAS,
uE40j6je6C,1107,4495,TV PANASONIC 49 POLEGADAS,
uE6ABiKMZG,1115,6374,CADEIRA DE GIRATÓRIA SEM BRAÇO MARTIFLEX,
uED7FCD73o,110409,235326,BANCO INDIVIDUAL DE MADEIRA,
uEWMaKnJax,110406,731,COMPUTADOR - ESTAÇÃO TRABALHO - DESKTOP ´TIPO,
uEa5DHHnqu,110409,248028,CARTEIRA ESCOLAR UNIVERSITARIA COM ASSENTO E,
uEkYLkq8Df,110409,345481,TELA DE PROJECAO ELETRICA MOTORIZADA,
uEyzwBGvyi,110409,239509,ARMARIO DE ACO,
uF5Q7Uwy3d,110102,878,COMPUTADOR - ESTAÇÃO TRABALHO - DESKTOP ´TIPO,
uF5z4SIZtU,1113,8465,MESA EM L,
uFC3jfi3QC,1115,15367,FREEZER VERTICAL BVR28 220V,
uFGxoaGEcx,111705,15908,BANHO MARIA SSD 10L,
uFVAi4NP35,110409,259550,APARELHO TELEFONICO,
uFW41bT9cC,111903,8852,GAVETEIRO MÓVEL,
uFZpBFKXph,1102,3479,MESA DE REUNIÃO REDONDA MED 1000 X 730MM,
uFhFuT8yBr,111604,285504,MICROCOMPUTADOR,
uFnMKFAH7G,1113,14882,CADEIRA FIXA EMPILHÁVEL,
uFxQXYWJJK,1117,17007,NOTEBOOK VAIO FE14,
uG3HdNpiV0,1164,3156,CARTEIRA ESCOLAR PARA DESTRO,
uGA4FtOHfQ,1114,17572,CADEIRA ESCOLAR COM PRANCHETA FRONTAL,
uGMj8T9eF0,1115,10659,APARELHO TELEFONICO IP SIP T21,
uGYhsNWXfl,1103,471,REDE DE INFORMÁTICA MÓDULO POWER INJETOR,
